Mercury X, Mercury Y, Mercury Z, Venus X, Venus Y, Venus Z, Earth X, Earth Y, Earth Z, Mars X, Mars Y, Mars Z, Jupiter X, Jupiter Y, Jupiter Z, Saturn X, Saturn Y, Saturn Z, Uranus X, Uranus Y, Uranus Z, Neptune X, Neptune Y, Neptune Z, Pluto X, Pluto Y, Pluto Z
0.015, 0.307, 0.024, -0.629, -0.353, 0.032, -0.211, 0.960, 0.000, 0.674, -1.233, -0.043, -4.588, 2.795, 0.092, 1.087, 8.967, -0.201, -18.294, -0.471, 0.236, 17.592, 24.060, -0.901, 21.592, 42.155, -10.759
-0.044, 0.307, 0.029, -0.580, -0.430, 0.028, -0.334, 0.925, 0.000, 0.843, -1.112, -0.044, -4.903, 2.248, 0.101, -0.175, 9.024, -0.152, -18.087, -2.982, 0.224, 14.408, 26.094, -0.869, 18.009, 43.531, -9.870
-0.102, 0.297, 0.034, -0.523, -0.500, 0.024, -0.451, 0.874, 0.000, 0.994, -0.968, -0.045, -5.148, 1.670, 0.109, -1.433, 8.912, -0.100, -17.551, -5.438, 0.208, 10.999, 27.721, -0.824, 14.265, 44.543, -8.896
-0.157, 0.278, 0.037, -0.456, -0.562, 0.019, -0.561, 0.809, 0.000, 1.125, -0.804, -0.045, -5.322, 1.068, 0.115, -2.664, 8.636, -0.047, -16.700, -7.794, 0.188, 7.405, 28.909, -0.766, 10.393, 45.137, -7.841
-0.208, 0.252, 0.040, -0.383, -0.615, 0.014, -0.661, 0.730, 0.000, 1.232, -0.624, -0.044, -5.421, 0.452, 0.120, -3.846, 8.200, 0.008, -15.555, -10.009, 0.165, 3.693, 29.626, -0.695, 6.435, 45.325, -6.712
-0.253, 0.220, 0.041, -0.304, -0.659, 0.009, -0.751, 0.640, 0.000, 1.313, -0.430, -0.042, -5.446, -0.171, 0.123, -4.956, 7.613, 0.062, -14.141, -12.049, 0.139, -0.066, 29.875, -0.614, 2.395, 45.062, -5.518
-0.293, 0.182, 0.042, -0.220, -0.692, 0.003, -0.828, 0.539, 0.000, 1.366, -0.227, -0.039, -5.396, -0.791, 0.124, -5.976, 6.888, 0.116, -12.485, -13.883, 0.110, -3.827, 29.662, -0.523, -1.654, 44.330, -4.267
-0.326, 0.140, 0.041, -0.132, -0.714, -0.002, -0.892, 0.429, 0.000, 1.391, -0.019, -0.035, -5.272, -1.401, 0.124, -6.889, 6.040, 0.167, -10.617, -15.484, 0.080, -7.538, 28.976, -0.423, -5.700, 43.119, -2.969
-0.352, 0.096, 0.040, -0.043, -0.726, -0.007, -0.941, 0.312, 0.000, 1.387, 0.189, -0.030, -5.077, -1.991, 0.122, -7.680, 5.085, 0.215, -8.567, -16.829, 0.048, -11.126, 27.824, -0.317, -9.667, 41.384, -1.636
-0.372, 0.049, 0.038, 0.048, -0.726, -0.012, -0.975, 0.190, 0.000, 1.354, 0.393, -0.025, -4.811, -2.555, 0.118, -8.336, 4.042, 0.260, -6.374, -17.895, 0.016, -14.532, 26.240, -0.206, -13.509, 39.147, -0.283
-0.386, 0.002, 0.036, 0.137, -0.714, -0.017, -0.993, 0.065, -0.000, 1.295, 0.589, -0.020, -4.480, -3.083, 0.113, -8.850, 2.929, 0.300, -4.075, -18.668, -0.017, -17.718, 24.251, -0.091, -17.175, 36.361, 1.074
-0.393, -0.045, 0.033, 0.224, -0.692, -0.022, -0.995, -0.061, -0.000, 1.211, 0.775, -0.014, -4.087, -3.568, 0.106, -9.215, 1.768, 0.335, -1.713, -19.141, -0.049, -20.633, 21.872, 0.025, -20.570, 33.043, 2.414
-0.395, -0.092, 0.029, 0.308, -0.659, -0.027, -0.982, -0.186, -0.000, 1.104, 0.945, -0.008, -3.637, -4.004, 0.098, -9.429, 0.577, 0.364, 0.672, -19.315, -0.081, -23.214, 19.148, 0.141, -23.648, 29.183, 3.715
-0.392, -0.137, 0.025, 0.387, -0.616, -0.031, -0.953, -0.308, -0.000, 0.977, 1.099, -0.001, -3.136, -4.384, 0.088, -9.490, -0.623, 0.388, 3.043, -19.194, -0.111, -25.431, 16.138, 0.254, -26.281, 24.785, 4.947
-0.383, -0.181, 0.021, 0.461, -0.563, -0.034, -0.909, -0.425, -0.000, 0.832, 1.233, 0.005, -2.591, -4.702, 0.077, -9.402, -1.814, 0.405, 5.369, -18.787, -0.140, -27.266, 12.880, 0.363, -28.394, 19.907, 6.081
-0.370, -0.222, 0.016, 0.527, -0.502, -0.037, -0.851, -0.536, -0.000, 0.674, 1.346, 0.011, -2.009, -4.952, 0.065, -9.168, -2.977, 0.416, 7.618, -18.103, -0.167, -28.678, 9.413, 0.467, -29.872, 14.570, 7.078
-0.353, -0.261, 0.011, 0.584, -0.433, -0.040, -0.779, -0.638, -0.000, 0.504, 1.437, 0.018, -1.397, -5.130, 0.052, -8.794, -4.095, 0.421, 9.758, -17.155, -0.191, -29.639, 5.804, 0.563, -30.601, 8.894, 7.900
-0.332, -0.297, 0.006, 0.633, -0.357, -0.041, -0.696, -0.731, -0.000, 0.327, 1.506, 0.023, -0.765, -5.233, 0.038, -8.290, -5.152, 0.420, 11.760, -15.956, -0.212, -30.152, 2.117, 0.651, -30.509, 2.968, 8.505
-0.307, -0.330, 0.001, 0.672, -0.275, -0.043, -0.602, -0.812, -0.000, 0.144, 1.551, 0.029, -0.122, -5.257, 0.024, -7.664, -6.135, 0.412, 13.593, -14.527, -0.231, -30.213, -1.610, 0.729, -29.483, -3.045, 8.854
-0.279, -0.360, -0.004, 0.701, -0.190, -0.043, -0.499, -0.881, -0.000, -0.040, 1.574, 0.034, 0.524, -5.201, 0.009, -6.927, -7.029, 0.399, 15.231, -12.893, -0.246, -29.805, -5.322, 0.796, -27.509, -8.951, 8.913
-0.249, -0.386, -0.009, 0.719, -0.101, -0.043, -0.388, -0.937, -0.000, -0.224, 1.574, 0.038, 1.161, -5.064, -0.005, -6.092, -7.824, 0.380, 16.654, -11.081, -0.258, -28.934, -8.945, 0.851, -24.562, -14.558, 8.661
-0.216, -0.409, -0.013, 0.725, -0.011, -0.042, -0.271, -0.978, -0.000, -0.405, 1.552, 0.043, 1.780, -4.847, -0.020, -5.171, -8.510, 0.355, 17.847, -9.120, -0.266, -27.633, -12.427, 0.893, -20.721, -19.614, 8.093
-0.181, -0.428, -0.018, 0.721, 0.079, -0.041, -0.150, -1.004, -0.000, -0.581, 1.510, 0.046, 2.370, -4.552, -0.035, -4.179, -9.078, 0.326, 18.797, -7.036, -0.271, -25.913, -15.730, 0.921, -16.120, -23.958, 7.225
-0.145, -0.442, -0.023, 0.705, 0.168, -0.038, -0.027, -1.016, -0.000, -0.748, 1.447, 0.049, 2.921, -4.182, -0.049, -3.129, -9.522, 0.292, 19.493, -4.855, -0.271, -23.789, -18.795, 0.935, -10.915, -27.411, 6.092
-0.107, -0.453, -0.027, 0.678, 0.255, -0.036, 0.096, -1.012, -0.000, -0.907, 1.366, 0.051, 3.424, -3.742, -0.062, -2.037, -9.837, 0.254, 19.926, -2.605, -0.269, -21.303, -21.562, 0.935, -5.342, -29.899, 4.744
-0.069, -0.460, -0.031, 0.640, 0.337, -0.033, 0.218, -0.993, -0.000, -1.053, 1.268, 0.053, 3.868, -3.238, -0.074, -0.917, -10.019, 0.213, 20.087, -0.317, -0.262, -18.507, -24.004, 0.921, 0.427, -31.402, 3.237
-0.029, -0.463, -0.035, 0.593, 0.415, -0.029, 0.337, -0.959, -0.000, -1.187, 1.153, 0.054, 4.245, -2.679, -0.084, 0.216, -10.066, 0.169, 19.969, 1.978, -0.252, -15.427, -26.092, 0.893, 6.178, -31.925, 1.629
0.010, -0.461, -0.039, 0.536, 0.485, -0.025, 0.451, -0.911, -0.000, -1.306, 1.025, 0.054, 4.548, -2.073, -0.094, 1.346, -9.977, 0.122, 19.575, 4.244, -0.238, -12.104, -27.778, 0.851, 11.762, -31.566, -0.025
0.050, -0.455, -0.042, 0.470, 0.548, -0.020, 0.558, -0.849, -0.000, -1.409, 0.884, 0.053, 4.770, -1.430, -0.101, 2.458, -9.754, 0.074, 18.910, 6.448, -0.222, -8.604, -29.035, 0.796, 17.056, -30.386, -1.680
0.089, -0.445, -0.044, 0.398, 0.602, -0.015, 0.656, -0.774, -0.000, -1.495, 0.732, 0.052, 4.907, -0.761, -0.107, 3.536, -9.400, 0.025, 17.984, 8.561, -0.202, -4.979, -29.860, 0.730, 21.945, -28.521, -3.296
0.127, -0.431, -0.047, 0.319, 0.647, -0.010, 0.745, -0.688, -0.000, -1.563, 0.572, 0.051, 4.954, -0.079, -0.111, 4.567, -8.918, -0.024, 16.810, 10.553, -0.179, -1.269, -30.235, 0.652, 26.400, -26.068, -4.846
0.164, -0.412, -0.049, 0.234, 0.682, -0.004, 0.822, -0.591, -0.000, -1.612, 0.405, 0.048, 4.912, 0.605, -0.113, 5.535, -8.314, -0.073, 15.401, 12.398, -0.154, 2.467, -30.138, 0.564, 30.350, -23.126, -6.305
0.199, -0.389, -0.050, 0.147, 0.705, 0.001, 0.887, -0.485, -0.000, -1.642, 0.232, 0.046, 4.779, 1.278, -0.112, 6.426, -7.595, -0.121, 13.770, 14.070, -0.126, 6.155, -29.575, 0.467, 33.806, -19.810, -7.660
0.232, -0.362, -0.051, 0.056, 0.718, 0.006, 0.938, -0.372, -0.000, -1.651, 0.057, 0.042, 4.559, 1.928, -0.110, 7.228, -6.771, -0.168, 11.936, 15.538, -0.097, 9.746, -28.568, 0.364, 36.744, -16.170, -8.897
0.262, -0.331, -0.051, -0.035, 0.719, 0.012, 0.975, -0.253, -0.000, -1.641, -0.119, 0.038, 4.256, 2.542, -0.106, 7.928, -5.851, -0.212, 9.923, 16.777, -0.066, 13.198, -27.120, 0.254, 39.163, -12.319, -10.011
0.290, -0.296, -0.051, -0.125, 0.708, 0.017, 0.997, -0.130, -0.000, -1.609, -0.293, 0.034, 3.875, 3.110, -0.100, 8.515, -4.848, -0.253, 7.760, 17.760, -0.034, 16.442, -25.242, 0.141, 41.090, -8.296, -10.996
0.313, -0.257, -0.050, -0.214, 0.686, 0.022, 1.003, -0.005, 0.000, -1.557, -0.464, 0.029, 3.424, 3.622, -0.091, 8.977, -3.775, -0.290, 5.480, 18.471, -0.002, 19.421, -22.979, 0.026, 42.505, -4.178, -11.849
0.333, -0.215, -0.048, -0.299, 0.653, 0.026, 0.994, 0.120, 0.000, -1.485, -0.628, 0.024, 2.912, 4.068, -0.082, 9.306, -2.646, -0.323, 3.119, 18.894, 0.030, 22.103, -20.369, -0.090, 43.465, -0.022, -12.570
0.347, -0.169, -0.046, -0.379, 0.609, 0.030, 0.969, 0.243, 0.000, -1.393, -0.784, 0.018, 2.348, 4.443, -0.071, 9.496, -1.477, -0.351, 0.712, 19.021, 0.062, 24.450, -17.435, -0.204, 43.959, 4.148, -13.160
0.357, -0.121, -0.043, -0.454, 0.556, 0.034, 0.929, 0.362, 0.000, -1.282, -0.930, 0.012, 1.743, 4.741, -0.058, 9.539, -0.287, -0.374, -1.706, 18.847, 0.092, 26.407, -14.222, -0.316, 44.022, 8.262, -13.618
0.360, -0.071, -0.039, -0.521, 0.494, 0.037, 0.874, 0.475, 0.000, -1.153, -1.062, 0.006, 1.108, 4.956, -0.045, 9.433, 0.908, -0.390, -4.099, 18.367, 0.122, 27.945, -10.795, -0.422, 43.672, 12.318, -13.949
0.357, -0.020, -0.034, -0.579, 0.424, 0.039, 0.805, 0.581, 0.000, -1.007, -1.179, 0.000, 0.454, 5.088, -0.031, 9.175, 2.087, -0.401, -6.427, 17.581, 0.149, 29.054, -7.201, -0.521, 42.910, 16.249, -14.151
0.346, 0.032, -0.029, -0.628, 0.346, 0.041, 0.723, 0.678, 0.000, -0.846, -1.278, -0.006, -0.207, 5.135, -0.016, 8.769, 3.233, -0.405, -8.648, 16.494, 0.174, 29.707, -3.481, -0.613, 41.787, 20.041, -14.230
0.328, 0.083, -0.023, -0.667, 0.264, 0.042, 0.630, 0.763, 0.000, -0.672, -1.358, -0.012, -0.865, 5.098, -0.001, 8.216, 4.323, -0.402, -10.719, 15.122, 0.196, 29.878, 0.295, -0.695, 40.290, 23.664, -14.187
0.303, 0.132, -0.017, -0.696, 0.177, 0.043, 0.526, 0.836, 0.000, -0.488, -1.416, -0.017, -1.509, 4.979, 0.014, 7.524, 5.341, -0.393, -12.600, 13.486, 0.214, 29.575, 4.055, -0.765, 38.475, 27.074, -14.026
0.270, 0.177, -0.010, -0.713, 0.087, 0.042, 0.414, 0.896, 0.000, -0.295, -1.450, -0.023, -2.129, 4.782, 0.028, 6.702, 6.265, -0.376, -14.256, 11.615, 0.228, 28.811, 7.753, -0.824, 36.364, 30.256, -13.748
0.229, 0.218, -0.003, -0.719, -0.004, 0.042, 0.294, 0.940, 0.000, -0.097, -1.459, -0.028, -2.717, 4.510, 0.043, 5.762, 7.080, -0.353, -15.658, 9.541, 0.239, 27.584, 11.336, -0.869, 33.978, 33.157, -13.357
0.182, 0.253, 0.004, -0.713, -0.095, 0.040, 0.170, 0.970, 0.000, 0.102, -1.442, -0.033, -3.263, 4.170, 0.056, 4.719, 7.767, -0.324, -16.782, 7.299, 0.245, 25.909, 14.731, -0.900, 31.301, 35.837, -12.871
0.130, 0.280, 0.011, -0.696, -0.184, 0.038, 0.043, 0.983, 0.000, 0.300, -1.399, -0.037, -3.760, 3.768, 0.069, 3.591, 8.314, -0.289, -17.607, 4.924, 0.247, 23.829, 17.882, -0.917, 28.348, 38.224, -12.296
0.073, 0.298, 0.018, -0.668, -0.271, 0.035, -0.084, 0.980, 0.000, 0.492, -1.329, -0.040, -4.202, 3.311, 0.081, 2.396, 8.709, -0.248, -18.115, 2.457, 0.244, 21.376, 20.758, -0.920, 25.203, 40.286, -11.626
